id,model_id,tag_type,tag_alias,tag,min_val,max_val,avg_exception,nan_exception,stuck_exception
15168,1,pi_tag,a_train_pass_4_feed,292FC14,,,,,
15169,1,pi_tag,heate,292FY2452.PV,,6.0,,,
15170,1,pi_tag,f2_cell_2_radiant_temp_a,292TI2847.PV,,,,True,
15171,1,pi_tag,a_train_pass_1_feed,292FC1401.PV,,,,True,True
15172,1,pi_tag,a_train_pass_2_feed,292FC1402.PV,,,,,
15173,1,pi_tag,f1_cell_1_radiant_temp_a,292TI1807.PV,2.0,10.0,True,False,True
15174,1,pi_tag,f2_cell_1_stack_temp_a,292TI2705A.PV,8.0,18.0,True,True,True
15175,1,pi_tag,a_train_pass_3_feed,292FC1403.PV,,,True,,
15176,1,pi_tag,a_train_pass_4_feed,292FC1404.PV,,,,,
15177,1,pi_tag,heater_1_total_chrg,292FY1451.PV,,,,True,
15178,1,pi_tag,heater_total_chrg,292FY2452.PV,,,,,
15179,1,pi_tag,f1_cell_2_radiant_temp_a,292TI1847.PV,12.0,18.0,False,False,False
15180,1,pi_tag,f1_pass_1_outlet_temp,292TC1701.PV,,,True,,
15181,1,pi_tag,f1_cell_1_radiant_temp_b,292TI1808.PV,,,True,,
15182,1,pi_tag,f1_cell_1_stack_temp,292TI1881.PV,,,,True,
15183,1,pi_tag,f1_cell_1_west_stack_o2,292AI1305A.PV,,,True,,True
15184,1,pi_tag,f2_cell_1_radiant_temp_a,292TI2807.PV,1.0,2.0,False,True,False
15185,1,pi_tag,a_train_pass_2_feed,292FC1402.PV,,,,,
15186,1,pi_tag,f1_hffghfffg,292TC1701.PV,,,True,,
15187,1,pi_tag,f1_cell_1_east_stack_o2,292AI1306A.PV,,,,,
15188,1,calc_tag,bfw/feed_f1p1,{a_train_pass_1_bfw}/{a_train_pass_1_feed},,,,,
15189,1,calc_tag,bfw/feed_f1p2,{a_train_pass_2_bfw}/{a_train_pass_2_feed},,,,,
15190,1,calc_tag,bfw/feed_f1p3,{a_train_pass_3_bfw}/{a_train_pass_3_feed},,,,,
15191,1,calc_tag,bfw/feed_f1p4,{a_train_pass_4_bfw}/{a_train_pass_4_feed},,,,,
15192,1,calc_tag,bfw/feed_f2p1,{b_train_pass_1_bfw}/{b_train_pass_1_feed},,,,,
15193,1,calc_tag,bfw/feed_f2p2,{b_train_pass_2_bfw}/{b_train_pass_2_feed},,,,,
15194,1,calc_tag,bfw/feed_f2p3,{b_train_pass_3_bfw}/{b_train_pass_3_feed},,,,,
15195,1,calc_tag,bfw/feed_f2p4,{b_train_pass_4_bfw}/{b_train_pass_4_feed},,,,,
15196,1,calc_tag,firedduty/feed_f1p1,({fg_ghv}*{f1_pass_1_fg_flow})/({a_train_pass_1_feed}*10000),,,,,
15197,1,calc_tag,firedduty/feed_f1p2,({fg_ghv}*{f1_pass_2_fg_flow})/({a_train_pass_2_feed}*10000),,,,True,
